"site_id","address"
"213424"," 23 Avenue West of 118 Street"
"530683"," 17 Street SW North of  28 Avenue SW"
"530687"," 17 Street SW North of Ellerslie Road SW"
"508848"," 18 Avenue West of  34 Street"
"431613"," 18 Street North of 153 Avenue"
"431649"," 18 Street North of 167 Avenue"
"208714","  9 Avenue West of 112A Street"
"208774","  9 Avenue West of 114A Street"
"431757"," 18 Street North of 195 Avenue"
"431833"," 18 Street North of 227 Avenue"
"431685"," 18 Street North of Fort Road North"
"209008","  9B Avenue West of 116  Street"
"209140"," 10 Avenue West of 112 Street"
"209152"," 10 Avenue West of 113 Street"
"209170"," 10 Avenue West of Twin Brooks Cove"
"209368"," 11 Avenue West of 106 Street"
"507612"," 12 Avenue West of 41 Street"
"507644"," 12 Avenue West of  65 Street"
"509124"," 19 Avenue West of  49 Street"
"509132"," 19 Avenue West of  50 Street"
"509160"," 19 Avenue West of  65 Street"
"210082","12 Avenue West of 113 Street"
"211696"," 19 Avenue West of 109 Street"
"210070"," 12 Avenue West of Twin Brooks Drive East"
"530435"," 12 Street North of  36A Avenue"
"530447"," 12 Street North of  37B Avenue"
"507868"," 13 Avenue West of  49 Street"
"508456","16A Avenue West of  34 Street"
"430145"," 17 Street NE North of 121 Avenue NE"
"430253"," 17 Street NE North of 195 Avenue NE"
"510136","23 Avenue West of Meridian Street"
"430337"," 17 Street NE North of 227 Avenue NE"
"430141"," 17 Street NE North of Yellowhead Trail "
"530731"," 17 Street North of  23 Avenue"
"530783"," 17 Street North of  73 Avenue"
"530791"," 17 Street North of  77 Avenue"
"530739"," 17 Street North of 34 Avenue"
"530743"," 17 Street North of 37A Avenue"
"211672"," 19 Avenue West of Bearspaw Drive East"
"530695"," 17 Street North of Anthony Henday Drive Westbound"
"530767"," 17 Street North of Maple Ridge Drive"
"211708"," 19 Avenue West of Bearspaw Drive West"
"530819"," 17 Street North of Petroleum Way"
"530967"," 19 Street North of  36 Avenue"
"530735"," 17 Street North of Silverberry Road"
"202708"," 20 Avenue SW West of 125 Street SW"
"202684"," 20 Avenue SW West of Rutherford Road SW"
"530763"," 17 Street North of Whitemud Drive Westbound"
"211966"," 20 Avenue West of 104 Street"
"509480"," 20 Avenue West of Mill Woods Road East"
"510200"," 23 Avenue West of  32 Street"
"510216"," 23 Avenue West of  38 Street"
"510232"," 23 Avenue West of  47 Street"
"213556"," 23 Avenue West of 184 Street "
"213496"," 23 Avenue West of Ledger Road"
"510224"," 23 Avenue West of Millwoods Road East"
"531307"," 23 Street North of Wiseman Lane"
"531327"," 24 Street North of  23 Avenue"
"510508"," 25 Avenue West of  32 Street"
"214102"," 25 Avenue West of 106A Street"
"214114"," 25 Avenue West of 107 Street"
"214204"," 25 Avenue West of 117 Street"
"214144"," 25 Avenue West of 112 Street"
"214228"," 25 Avenue West of 119 Street"
"432309"," 25 Street North of 145 Avenue"
"432425"," 26 Street North of Fort Road"
"511048"," 27 Avenue West of   32 Street"
"511128"," 27 Avenue West of  79 Street"
"501132"," 28 Avenue SW West of  17 Street SW"
"511320"," 28 Avenue West of  48 Street "
"223894"," 45 Avenue West of 147 Street"
"220978"," 40 Avenue West of 109 Street"
"531671"," 28 Street North of  43A Avenue"
"511460"," 28A Avenue West of  33 Street"
"505608","3 Avenue SW West of  58 Street SW"
"430645","3 Street NE North of 161 Avenue NE"
"505084","  7 Avenue SW West of  79 Street SW"
"204850","9 Avenue SW West of 207 Street SW"
"531795"," 29 Street North of  43A Avenue"
"216082"," 29A Avenue West of 111B Street"
"216262"," 30 Avenue West of 111B Street"
"531883"," 30 Street North of  38 Avenue"
"531899"," 30 Street North of  43 Avenue"
"216592"," 31 Avenue West of 105A Street"
"216634"," 31 Avenue West of 112A Street"
"216646"," 31 Avenue West of 113 Street"
"218074"," 34 Avenue West of 114 Street"
"110059"," 34 Street North of 111 Avenue"
"110061"," 34 Street North of 113 Avenue"
"110063"," 34 Street North of 114 Avenue"
"110065"," 34 Street North of 116A Avenue"
"433269"," 34 Street North of Fort Road"
"513784"," 35A Avenue West of  31A Street"
"514028"," 36 Avenue West of  39 Street"
"110111"," 36 Street North of 119 Avenue"
"433457"," 36 Street North of 137 Avenue"
"514280"," 36A Avenue West of  64 Street"
"514292"," 36A Avenue West of  66 Street"
"219316"," 36A Avenue West of 106A Street"
"514650"," 37 Avenue East of  93 Street"
"532919"," 37 Street North of  33 Avenue"
"532923"," 37 Street North of  34 Avenue"
"532931"," 37 Street North of  35 Avenue"
"515176"," 38 Avenue West of  12 Street"
"515276"," 38 Avenue West of  47 Street"
"221050"," 40 Avenue West of 115A Street"
"515248"," 38 Avenue West of  41 Street"
"515256"," 38 Avenue West of  42 Street"
"515300"," 38 Avenue West of  55 Street"
"515324"," 38 Avenue West of  60A Street"
"221110"," 40 Avenue West of 121 Street"
"516100","40 Avenue West of Greenoch Crescent West"
"515340"," 38 Avenue West of  62 Street"
"515292"," 38 Avenue West of Hill View Cresent"
"221224"," 40 Avenue West of Rhatigan Road East"
"533019"," 38 Street North of  21 Avenue"
"533023"," 38 Street North of  23 Avenue"
"533015"," 38 Street North of  20 Avenue"
"533063"," 38 Street North of  39 Avenue"
"110131"," 38 Street North of 105 Avenue"
"110135"," 38 Street North of 107 Avenue"
"110139"," 38 Street North of 109 Avenue"
"110141"," 38 Street North of 110 Avenue"
"110145"," 38 Street North of 112 Avenue"
"110153"," 38 Street North of 116 Avenue"
"533079"," 38 Street North of Kirkwood Avenue"
"515464"," 38A Avenue West of  51 Street"
"515828"," 39 Avenue West of  98 Street"
"515716"," 39 Avenue West of  51 Street"
"515812"," 39 Avenue West of  93 Street"
"516068"," 40 Avenue West of  50 Street"
"516052"," 40 Avenue West of  47 Street"
"533255"," 40 Street North of 105 Avenue"
"110197"," 40 Street North of 115 Avenue"
"433837"," 40 Street North of 132 Avenue"
"433841","40 Street North of 134 Avenue"
"433845"," 40 Street North of 137 Avenue"
"433829A"," 40 Street North of Harrow Circle "
"533939"," 45 Street North of 103A Avenue"
"433829"," 40 Street North of Harrow Circle"
"516480"," 41 Avenue West of  93 Street"
"533951"," 45 Street North of 105A Avenue"
"533715"," 44 Street South of Jackson Road"
"517480"," 44B Avenue West of  29 Street"
"434045"," 45 Street North of 153 Avenue"
"534211"," 47 Street North of  21 Avenue"
"534215"," 47 Street North of  23 Avenue"
"534207"," 47 Street North of  20 Avenue"
"534231"," 47 Street North of  38 Avenue"
"534295"," 47 Street North of 106B Avenue"
"534431"," 48 Street North of  34 Avenue"
"534771"," 48 Street North of  92 Avenue"
"534379"," 48 Street North of  17 Avenue"
"534419"," 48 Street North of  30 Avenue"
"534427"," 48 Street North of  32 Avenue"
"110345"," 48 Street North of 114 Avenue"
"225304"," 49 Avenue West of 111A Street"
"225538"," 49 Avenue West of 186 Street"
"534659"," 49 Street North of  92 Avenue"
"534671"," 49 Street North of  98 Avenue"
"226150","51 Avenue West of 111A Street"
"226234"," 51 Avenue West of 116 Street"
"226258"," 51 Avenue West of 122A Street"
"534791"," 50 Street North of  19 Avenue"
"226270"," 51 Avenue West of 123 Street"
"534795"," 50 Street North of  23 Avenue"
"534803"," 50 Street North of  28 Avenue"
"534807"," 50 Street North of  31 Avenue"
"534811"," 50 Street North of  34 Avenue"
"534815"," 50 Street North of  38 Avenue"
"534819"," 50 Street North of  40 Avenue"
"534823"," 50 Street North of  44 Avenue"
"534875"," 50 Street North of  75 Avenue "
"226354"," 51 Avenue West of Riverbend Road"
"226564"," 52 Avenue West of 109 Street"
"534895"," 50 Street North of  82 Avenue"
"534907"," 50 Street North of  90A Avenue "
"534927"," 50 Street North of  98 Avenue"
"534935"," 50 Street North of 101A  Avenue"
"534959"," 50 Street North of 107A Avenue"
"110395"," 50 Street North of 117 Avenue"
"434329"," 50 Street North of 129 Avenue"
"434337"," 50 Street North of 131 Avenue"
"434341"," 50 Street North of 134 Avenue"
"434345"," 50 Street North of 137 Avenue"
"434357"," 50 Street North of 140 Avenue"
"434361"," 50 Street North of 144 Avenue"
"434365"," 50 Street North of 146 Avenue"
"434377"," 50 Street North of 153 Avenue"
"434397"," 50 Street North of 165 Avenue"
"226942"," 53 Avenue West of 107 Street"
"434457"," 50 Street North of 195 Avenue"
"227050"," 53 Avenue West of 143 Street"
"434509"," 50 Street North of 227 Avenue"
"534759"," 50 Street North of Anthony Hendey Drive Westbound"
"534855"," 50 Street North of Eleniak Road"
"227458"," 54 Avenue West of 111A Street"
"534827"," 50 Street North of Jamha Road"
"434373"," 50 Street North of McLeod Road"
"534835"," 50 Street North of Whitemud Drive Westbound"
"434317"," 50 Street North of Yellowhead Trail Westbound"
"534751"," 50 Street SW North of  4 Avenue SW"
"110473"," 54 Street North of 118 Avenue"
"434833"," 54 Street North of 152B Avenue"
"434837"," 54 Street North of 153 Avenue"
"434845"," 54 Street North of 155 Avenue"
"518236"," 55 Avenue West of  48 Street"
"518244"," 55 Avenue West of  50 Street"
"534723"," 50 Street SW North of  41 Avenue SW"
"227686"," 55 Avenue West of Allard Way"
"434981"," 55 Street North of 146 Avenue"
"518048"," 51 Avenue West of  54 Street"
"518080"," 51 Avenue West of  87 Street"
"518104"," 51 Avenue West of  93 Street"
"435001"," 55 Street North of 164 Avenue"
"435005"," 55 Street North of 165 Avenue"
"434401"," 55 Street North of 167 Avenue"
"435009"," 55 Street North of 167 Avenue"
"228040"," 56 Avenue West of Riverbend Road"
"535567"," 56 Street North of  82 Avenue"
"535575"," 56 Street North of  85 Avenue"
"228262"," 57 Avenue West of 109A Avenue"
"228334"," 57 Avenue West of 113A Street"
"228502","57 Avenue West of 181 Street"
"228466"," 57 Avenue West of Lessard Drive West"
"535683"," 57 Street North of  22 Avenue"
"535699"," 57 Street North of  89 Avenue"
"535707"," 57 Street North of  95 Avenue"
"518560"," 58 Avenue West of  90 Street"
"535711"," 57 Street North of Austin O'Brien Road"
"435381"," 57A Street North of 161 Avenue"
"518552"," 58 Avenue West of  88 Street"
"228790"," 58 Avenue West of 113 Street"
"228970"," 58 Avenue West of 181 Street"
"535799"," 58 Street North of  34 Avenue"
"110557"," 58 Street North of 119 Avenue North"
"535839"," 58 Street North of  92C Avenue"
"110559"," 58 Street North of 120 Avenue"
"110563"," 58 Street North of 121 Avenue North"
"435413"," 58 Street North of 137 Avenue"
"535795"," 58 Street North of Youville Drive "
"229360"," 59 Avenue West of 175 Street"
"435609"," 59 Street North of 161 Avenue"
"435689"," 59A Street North of 153 Avenue"
"435697"," 59A Street North of 156 Avenue"
"435701"," 59A Street North of 157 Avenue"
"435721"," 59A Street North of 162B Avenue"
"435729"," 59A Street North of 165 Avenue"
"518676"," 60 Avenue West of  98 Street"
"229540"," 60 Avenue West of 107 Street"
"229612"," 60 Avenue West of 113 Street"
"229624"," 60 Avenue West of 113A Street"
"435941"," 61 Street North of 152 Avenue"
"230590"," 62 Avenue West of Goodwin Gate"
"436401"," 64 Street North of 159 Avenue"
"436417"," 64 Street North of 162B Avenue"
"536755"," 66 Street North of  23 Avenue"
"536779"," 66 Street North of  41 Avenue "
"110707"," 66 Street North of 113 Avenue"
"110709"," 66 Street North of 114 Avenue"
"233530"," 70 Avenue West of 107 Street"
"110711"," 66 Street North of 115 Avenue"
"110717"," 66 Street North of 120 Avenue"
"436597"," 66 Street North of 124 Avenue"
"436621"," 66 Street North of 131 Avenue"
"436633"," 66 Street North of 132A Avenue"
"436641"," 66 Street North of 134 Avenue "
"436649"," 66 Street North of 137 Avenue"
"436657"," 66 Street North of 144 Avenue"
"436661"," 66 Street North of 149 Avenue"
"436669"," 66 Street North of 153 Avenue"
"436681"," 66 Street North of 165 Avenue"
"233554"," 70 Avenue West of 109 Street"
"436685"," 66 Street North of 167 Avenue"
"536735"," 66 Street SW North of   6 Avenue SW"
"536703"," 66 Street SW North of  41 Avenue SW"
"437161"," 70 Street North of Delwood Road"
"537319"," 70 Street SW North of  12 Avenue SW"
"537315"," 70 Street SW North of  13 Avenue SW"
"519476"," 67 Avenue West of  50 Street"
"537307"," 70 Street SW North of  16 Avenue SW"
"232504"," 67 Avenue West of 109 Street"
"232534"," 67 Avenue West of 112A Street"
"536879"," 67 Street North of 101 Avenue"
"110731"," 67 Street North of 114 Avenue "
"110733"," 67 Street North of 115 Avenue"
"519640"," 68 Avenue West of  71 Street"
"519600"," 68 Avenue West of 43A Street"
"437457"," 72 Street North of 144 Avenue"
"232846"," 68 Avenue West of 109 Street"
"536987"," 68 Street North of  11 Avenue"
"110757"," 68 Street North of 115 Avenue"
"110759"," 68 Street North of 116 Avenue"
"537983"," 75 Street North of  51 Avenue"
"233152"," 69 Avenue West of 109 Street"
"538087"," 75 Street North of  95 Avenue"
"537979"," 75 Street North of Whitemud Drive Westbound"
"520752"," 76 Avenue West of   9 Street "
"520860"," 76 Avenue West of Girard Road"
"520900"," 76 Avenue West of  78 Street"
"520884"," 76 Avenue West of  73 Street"
"520948"," 76 Avenue West of  85 Street West"
"520980"," 76 Avenue West of  89 Street West"
"521020"," 76 Avenue West of  98 Street"
"235780"," 76 Avenue West of 107 Street"
"235804"," 76 Avenue West of 108 Street"
"438189"," 76 Street North of 150 Avenue"
"235828"," 76 Avenue West of 111 Street"
"235864"," 76 Avenue West of 113 Street"
"235888"," 76 Avenue West of 116 Street "
"235936"," 76 Avenue West of 119 Street"
"235966"," 76 Avenue West of 150 Street"
"438221"," 76 Street North of 166A Avenue"
"438225"," 76 Street North of 167 Avenue"
"521068"," 77 Avenue West of  71 Street"
"237016"," 78 Avenue West of 149 Street"
"438489"," 78 Street North of 157 Avenue"
"438501"," 78 Street North of 160 Avenue"
"521468"," 79 Avenue West of  97 Street"
"521408"," 79 Street North of  81 Avenue "
"521440"," 79 Avenue West of  89 Street"
"538699"," 79 Street North of  89 Avenue"
"538703"," 79 Street North of  90 Avenue"
"538727"," 79 Street North of  97 Avenue"
"538667"," 79 Street North of  80 Avenue"
"538655"," 79 Street North of  77 Avenue"
"538675"," 79 Street North of  82 Avenue"
"538679"," 79 Street North of  83 Avenue"
"538691"," 79 Street North of  86 Avenue"
"538711"," 79 Street North of  92 Avenue"
"538719"," 79 Street North of  94 Avenue"
"538723"," 79 Street North of  95 Avenue"
"538735"," 79 Street North of  98A Avenue "
"439845"," 88 Street North of 160 Avenue"
"540027"," 88 Street SW North of  14 Avenue SW"
"439921"," 88A Street North of 140 Avenue"
"538739"," 79 Street North of 101 Avenue "
"303012"," 89 Avenue West of 181 Street"
"302952","89 Avenue West of Meadowlark Road"
"538751"," 79 Street North of 104 Avenue"
"538755"," 79 Street North of 105 Avenue "
"110913"," 79 Street North of 112S Avenue"
"110925"," 79 Street North of 118 Avenue"
"438629"," 79 Street North of 164 Avenue"
"538639"," 79 Street North of Argyll Road "
"521624"," 80 Avenue West of  97 Street"
"237628"," 80 Avenue West of 110 Street"
"300284"," 80 Avenue West of 139 Street"
"300348"," 80 Avenue West of 147 Street"
"110951"," 80 Street North of 117 Avenue"
"300788","81 Avenue West of176 Street"
"439085"," 82 Street North of 134 Avenue"
"438961"," 82 Street North of 135A Avenue"
"438977"," 82 Street North of 149A Avenue"
"438981"," 82 Street North of 153 Avenue"
"439005"," 82 Street North of 173 Avenue"
"439009"," 82 Street North of 180 Avenue"
"438921"," 82 Street North of Yellowhead Trail Westbound"
"539311"," 83 Street North of  96 Avenue"
"539635"," 85 Street North of  96 Avenue"
"522860"," 86 Avenue West of  77 Street"
"111127"," 86 Street North of 113 Avenue"
"539739"," 86 Street North of Millgate Transit Centre"
"540531"," 91 Street North of Whitemud Drive Westbound"
"238720"," 87 Avenue West of 118 Street"
"238744"," 87 Avenue West of 120 Street"
"540271"," 89 Street North of  81 Avenue "
"540263"," 89 Street North of  79 Avenue"
"302228"," 87 Avenue West of 142 Street"
"302236"," 87 Avenue West of 145 Street"
"302272"," 87 Avenue West of 152 Street"
"302292"," 87 Avenue West of 153 Street"
"303200"," 89A Avenue West of 140 Street"
"302316","87 Avenue West of 157 Street"
"539967"," 87 Street North of  93 Avenue"
"439609"," 87 Street North of 135A Avenue"
"439613"," 87 Street North of 136 Avenue"
"439677"," 87 Street North of 166 Avenue"
"439709"," 87 Street North of 177 Avenue"
"523276"," 88 Avenue West of  90 Street West"
"523300"," 88 Avenue West of  92 Street"
"523360"," 88 Avenue West of  99 Street"
"302664"," 88 Avenue West of 160 Street"
"302696"," 88 Avenue West of 164A Street"
"302704"," 88 Avenue West of 165 Street"
"540043"," 88 Street North of  10 Avenue"
"523568"," 90 Avenue West of  58 Street"
"523592"," 90 Avenue West of  71 Street"
"440089"," 90 Street North of 128 Avenue"
"523788"," 90A Avenue West of  52 Street"
"540499"," 91 Street North of  23 Avenue"
"523600"," 90 Avenue West of  73 Street"
"540507"," 91 Street North of  28 Avenue"
"540515"," 91 Street North of  34 Avenue"
"303400"," 90 Avenue West of 150 Street"
"303432"," 90 Avenue West of 154 Street"
"540535"," 91 Street North of  51 Avenue"
"540539"," 91 Street North of  58 Avenue"
"440341"," 91 Street North of 168 Avenue"
"440353"," 91 Street North of 175 Avenue"
"540495"," 91 Street North of Anthony Henday Drive Westbound"
"540541"," 91 Street South of  63 Avenue"
"111363"," 92 Street North of 106A Avenue"
"524996"," 94B Avenue West of 68 Street"
"525120"," 95 Avenue West of  76 Street"
"525136"," 95 Avenue West of  79 Street"
"525144"," 95 Avenue West of  80 Street"
"305744"," 95 Avenue West of 157 Street"
"305776"," 95 Avenue West of 167 Street"
"440965"," 95 Street North of 162 Avenue"
"525484"," 97 Avenue West of  79 Street"
"541359"," 97 Street North of  62 Avenue"
"111713"," 97 Street North of 109 Avenue"
"111721"," 97 Street North of 111 Avenue"
"441233"," 97 Street North of 125A Avenue"
"441237"," 97 Street North of 127 Avenue"
"441249"," 97 Street North of 130 Avenue"
"441253"," 97 Street North of 132 Avenue"
"441257"," 97 Street North of 134 Avenue"
"441261"," 97 Street North of 135 Avenue"
"441281"," 97 Street North of Griesbach Road"
"525674"," 98 Avenue West of  62 Street"
"525708"," 98 Avenue West of Ottewell Road"
"541567"," 98 Street North of  78 Avenue"
"541663"," 99 Street North of  22 Avenue"
"541691"," 99 Street North of  41 Avenue"
"541707"," 99 Street North of  44 Avenue"
"541723"," 99 Street North of  51 Avenue"
"541735"," 99 Street North of  60 Avenue "
"541747"," 99 Street North of  65 Avenue"
"541787"," 99 Street North of  75 Avenue"
"541803"," 99 Street North of  79 Avenue"
"541819"," 99 Street North of  83 Avenue"
"541839"," 99 Street North of  88 Avenue"
"541847"," 99 Street North of  90 Avenue"
"100506","100 Avenue West of 117 Street"
"100514","100 Avenue West of 119 Street "
"309844","104 Avenue West of 137 Street"
"310012","104 Avenue West of 157 Street"
"308032","100 Avenue West of 147 Street"
"308040","100 Avenue West of 148 Street"
"310036","104 Avenue West of 160 Street"
"308088","100 Avenue West of 155 Street"
"250667","104 Street North of  85 Avenue"
"308176","100 Avenue West of 169 Street"
"308248","100 Avenue West of Anthony Henday Drive"
"111825","100 Street North of 102A Avenue"
"441505","100 Street North of 161 Avenue"
"441525","100 Street North of 165 Avenue"
"111815","100 Street North of McDougall Hill"
"526188","101 Avenue West of  80 Street"
"111887","101 Street North of 103 Avenue"
"111881","101 Street North of 104 Avenue"
"111893","101 Street North of 108 Avenue"
"100868","102 Avenue West of  95 Street"
"308988","102 Avenue West of Tweedsmuir Crescent East"
"101266","104 Avenue West of 102 Street"
"101414","105 Avenue West of 106 Street"
"310336","105 Avenue West of 140 Street"
"250817","105 Street North of  14 Avenue"
"250991","105 Street North of  51 Avenue"
"527468","106 Avenue West of  77 Street"
"251399","106 Street North of  29 Avenue"
"251471","106 Street North of  47 Avenue"
"101772","107 Avenue West of 111 Street"
"101800","107 Avenue West of 120 Street"
"311088","107 Avenue West of 125 Street"
"311120","107 Avenue West of 129 Street"
"311168","107 Avenue West of 136 Street"
"311192","107 Avenue West of 144 Street"
"311224","107 Avenue West of 152 Street"
"311264","107 Avenue West of 159 Street"
"251813","107 Street North of  51 Avenue"
"251855","107 Street North of  60 Avenue"
"101834","107A Avenue West of  96 Street"
"101846","107A Avenue West of  99 Street"
"312084","108 Avenue West of 151 Street"
"312108","108 Avenue West of 154 Street"
"312248","109 Avenue West of 133 Street"
"312272","109 Avenue West of 136 Street"
"252659","109 Street North of  53 Avenue"
"252665","109 Street North of  54 Avenue"
"252677","109 Street North of  58 Avenue"
"252695","109 Street North of  62 Avenue"
"252749","109 Street North of  71 Avenue"
"252755","109 Street North of  72 Avenue"
"252779","109 Street North of  76 Avenue"
"252815","109 Street North of  81 Avenue"
"252821","109 Street North of  82 Avenue"
"252833","109 Street North of  84 Avenue"
"112253","109 Street North of 100 Avenue"
"112271","109 Street North of 109 Avenue"
"112273","109 Street North of 110 Avenue"
"442697","109 Street North of 132 Avenue"
"442749","109 Street North of 162A Avenue"
"442773","109 Street North of 168 Avenue"
"252545","109 Street North of Bearspaw Drive"
"112277","109 Street North of Kingsway Avenue"
"528136","109A Avenue West of  46 Street"
"252887","109A Street North of  54 Avenue"
"252893","109A Street North of  57 Avenue"
"252905","109A Street North of  63 Avenue"
"102190","110 Avenue West of  36 Street"
"102194","110 Avenue West of  38 Street"
"313036","110 Avenue West of 160 Street"
"252995","110 Street North of  41 Avenue"
"253043","110 Street North of  64 Avenue"
"253103","110 Street North of  81 Avenue"
"313364","111 Avenue West of 131 Street"
"103012","113 Avenue West of  30 Street"
"254477","113A Street North of  55 Avenue"
"443277","113A Street North of 127 Avenue"
"314060","114 Avenue West of 151 Street"
"103510","114 Avenue West of Tower Road"
"103612","115 Avenue West of  81 Street"
"112785","116 Street North of 112 Avenue"
"314712","117 Avenue West of 130 Street"
"255629","117 Street North of  37 Avenue"
"255725","117 Street North of  87 Avenue"
"255713","117 Street North of  83 Avenue"
"104226","118 Avenue West of  49 Street"
"104270","118 Avenue West of  60 Street"
"104302","118 Avenue West of  67 Street"
"104362","118 Avenue West of  83 Street West"
"104422","118 Avenue West of  92 Street"
"314884","118 Avenue West of 126 Street"
"314924","118 Avenue West of 133 Street"
"314972","118 Avenue West of 145 Street"
"256319","119 Street North of  34 Avenue"
"315060","118 Avenue West of 178 Street"
"104335","118 Avenue West of Wayne Gretzky Drive SB"
"255905","118 Street north of  11B Avenue"
"255983","118 Street North of  32A Avenue"
"104774","119 Avenue West of  77 Street"
"104794","119 Avenue West of  81 Street"
"256307","119 Street  North of Westbrook Drive"
